index,name,address,reason
35,Ośrodek Pomocy Społecznej w Lubieniu Kujawskim,"ul. 1 Maja 44, 87-840 Lubień Kujawski",Service not available
41,Gminny Ośrodek Pomocy Społecznej we Włocławku,"ul. Królewiecka 7, 87-800 Włocławek",Service not available
49,Gminny Ośrodek Pomocy Społecznej w Nowej Wsi Wielkiej,"ul. Ogrodowa 2A, 86-060 Nowa Wieś Wielka",Service not available
51,Ośrodek Pomocy Społecznej w Świeciu,"ul. Gen. Józefa Hallera 11, 86-100 Świecie",Service not available
52,Gminny Ośrodek Pomocy Społecznej w Chełmży,"ul. Paderewskiego 11, 87-140 Chełmża",Service not available
53,Gminny Ośrodek Pomocy Społecznej w Gąsawie,"ul. Żnińska 19, 88-410 Gąsawa",Service not available
56,Gminny Ośrodek Pomocy Społecznej w Lipnie,"ul. Mickiewicza 29, 87-600 Lipno","value too long for type character varying(100)
"
57,Gminny Ośrodek Pomocy Społecznej w Książkach,"ul. Bankowa 4, 87-222 Książki",Service not available
63,Gminny Ośrodek Pomocy Społecznej w Dąbrowie Chełmińskiej,"Wałdowo Królewskie, ul. Długa 32,
 86-070 Dąbrowa Chełmińska",Geocoding failed
67,Gminny Ośrodek Pomocy Społecznej w Śliwicach,"ul. ks. dra. St. Sychowskiego 28,                           89 - 530 Śliwice",Geocoding failed
73,Miejsko-Gminny Ośrodek Pomocy Społecznej w Skępem,"ul. Dworcowa 9, 87-630 Skępe",Service not available
81,Gminny Ośrodek Pomocy Społecznej w Bukowcu,"ul. Dr Ceynowy 14, pok. nr 8 i 10
 86-122 Bukowiec",Service not available
82,"Gminny Ośrodek Pomocy Społecznej
 w Brzoziu","Brzozie 50, 87-313, Brzozie",Service not available
87,Gminny Ośrodek Pomocy Społecznej w Kikole,"Plac Kościuszki 7A, 87-620 Kikół",Service not available
91,Gminny Ośrodek Pomocy Społecznej w Dragaczu,86-134 Dragacz 7A,Geocoding failed
96,Urząd Gminy Raciążek,"ul. Wysoka 4, 87-721 Raciążek",Service not available
97,Gminny Ośrodek Pomocy Społecznej w Bartniczce,"ul. Brodnicka 8, 87-321 Bartniczka","value too long for type character varying(100)
"
99,Gminny Ośrodek Pomocy Społecznej w Rojewie,"Rojewo 8, 88-111 Rojewo",Service not available
101,Gminny Ośrodek Pomocy Społecznej w Kowalu,"ul. Piwna 33, 87-820 Kowal",Service not available
102,Centrum Usług Społecznych w Chełmnie,"ul. Gen. J. Hallera 11, 86-200 Chełmno",Geocoding failed
103,Miejsko-Gminny Ośrodek Pomocy Społecznej w Janowcu Wielkopolskim,"ul. Strzelecka 8, 88-430 Janowiec Wielkopolski",Service not available
