name,type,address,email,phone_number,opening_hours,psychological_help,legal_help,social_help,accommodation,infoline,description,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Ośrodek Pomocy Społecznej w Pakości,GOV,"Inowrocławska 14, 88-170 Pakość",ops@opspakosc.pl,52 351 81 37 52 359 01 21,"poniedziałek, środa, czwartek 7:00 - 15.00, wtorek 7:00 - 16:00, piątek 7:00 - 14:00",True,True,True,False,nie,,,,,
Miejsko-Gminny Ośrodek Pomocy Społecznej w Szubinie,GOV,"ulica Kcyńska 34, 89-200 Szubin",sekretariat@mgopsszubin.pl,52 39 10 370 503 440 140,poniedziałek - piątek 7:30 - 15:30,True,True,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Jeżewie,GOV,"ulica Główna 10, 86-131 Jeżewo",gops@jezewo.eu,52 522 81 54,"poniedziałek, środa, czwartek, piątek 7:00 - 15.00, wtorek 8:00 - 16:00",True,True,True,False,nie,,,,,
Miejski Ośrodek Pomocy Społecznej w Nieszawie,GOV,"ulica 3 Maja 2, 87-730 Nieszawa",mops@nieszawa.pl,54 283 80 31 883 640 798,"poniedziałek, środa, czwartek 7:30 - 15:30, wtorek 7:30 - 17:00, piątek 7:30 - 14:00",False,False,True,False,nie,,,,,
Miejski Ośrodek Pomocy Społecznej w Radziejowie,GOV,"ulica Rynek 1, 88-200 Radziejów",kontakt@mopsradziejow.pl,54 285 46 00,poniedziałek - piątek 7:30 - 15:30,True,False,True,False,nie,,,,,
Miejski Ośrodek Pomocy Spolecznej w Rypinie,GOV,"ulica Warszawska 40, 87-500 Rypin",mops@rypin.eu,54 280 96 50,"poniedziałek, środa, czwartek 7:00 - 15:00, wtorek 7:30 - 15:00, piątek: 7:00 - 14:30",True,True,True,True,nie,,,,,
Miejsko-Gminny Ośrodek Pomocy Społecznej w Mroczy,GOV,"ulica Łąkowa 7, 89-115 Mrocza",mgops@mgops.mrocza.pl,,poniedziałek - piątek 7:00- 15:00,True,True,True,False,nie,,,,,
Gminny Ośrodek Pomocy Społecznej w Rogowie,GOV,"ulica Kolejowa 4, 88-420 Rogowo",gops@rogowo.paluki.pl,52 30 24 210 52 30 24 147,"poniedziałek 8.00 - 16.00, wtorek - piątek 7.00 - 15.00",True,True,True,False,nie,,,,,
Urząd Gminy Rogowo,GOV,ulica Kościelna 8 / 88-420 Rogowo,gmina@rogowo.paluki.pl,52 30 24 053 52 30 24 077 52 30 24 185,"poniedziałek, środa, czwartek: 7:15 - 15:15, wtorek: 7:15 - 16:15, piątek: 7:15 - 14:15",True,True,True,False,nie,,,,,
Urząd Miasta Radziejów,GOV,"ulica Kościuszki 20/22, 88-200 Radziejów",radziejow@umradziejow.pl,54 285 7100,poniedziałek - piątek 7:30 - 15:30,True,False,True,False,nie,,,,,
